Creating config files for runtime_packed_noisy_base_q4_spsa_separate:
Configuration file written. Path: /work/qgan/data/train/base-runtime_packed-separate-q4-noisy-SPSA-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/base-runtime_packed-separate-q4-noisy-SPSA-aerCPU-rand0-seed0/config.yaml
Training data file created.
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                  0 |             -0.979 |             -0.256 |               4.45 |               4.45 |               16.4 |
                 10 |             -0.978 |             -0.262 |               3.57 |               3.57 |                179 |
                 20 |              -0.98 |             -0.259 |               3.33 |               3.33 |                180 |
                 30 |             -0.986 |              -0.26 |               3.34 |               3.27 |                182 |
                 40 |             -0.974 |             -0.255 |               3.57 |               3.27 |                181 |
                 50 |             -0.991 |             -0.252 |               3.81 |               3.27 |                183 |
                 60 |             -0.986 |             -0.262 |               3.52 |               3.27 |                182 |
                 70 |             -0.979 |             -0.257 |               3.46 |               3.27 |                182 |
                 80 |             -0.997 |             -0.256 |               3.46 |               3.27 |                182 |
                 90 |             -0.975 |             -0.265 |               3.41 |               3.27 |                182 |
                100 |             -0.987 |             -0.252 |               3.39 |               3.27 |                181 |
                110 |             -0.978 |             -0.256 |               3.32 |               3.27 |                183 |
                120 |             -0.975 |             -0.259 |               3.19 |               3.19 |                183 |
                130 |             -0.984 |             -0.261 |               3.06 |               3.06 |                182 |
                140 |             -0.982 |             -0.259 |               2.99 |               2.99 |                183 |
                150 |             -0.988 |             -0.256 |               3.02 |               2.99 |                183 |
                160 |                 -1 |             -0.254 |               2.99 |               2.99 |                183 |
                170 |             -0.981 |             -0.251 |               3.04 |               2.98 |                183 |
                180 |             -0.997 |             -0.262 |               3.14 |               2.98 |                181 |
                190 |             -0.983 |             -0.257 |               3.08 |               2.98 |                181 |
                200 |             -0.985 |              -0.26 |               3.03 |               2.98 |                181 |
                210 |             -0.982 |             -0.261 |               3.04 |               2.98 |                181 |
                220 |             -0.963 |             -0.259 |               3.08 |               2.98 |                181 |
                230 |             -0.987 |             -0.253 |               3.03 |               2.98 |                182 |
                240 |             -0.979 |             -0.264 |               3.14 |               2.98 |                182 |
                250 |              -0.98 |             -0.259 |               2.94 |               2.94 |                181 |
                260 |             -0.992 |             -0.253 |               2.85 |               2.85 |                181 |
                270 |             -0.988 |             -0.259 |               2.75 |               2.74 |                182 |
                280 |             -0.994 |             -0.253 |                2.7 |                2.7 |                182 |
                290 |             -0.984 |             -0.255 |               2.71 |               2.69 |                182 |
                300 |             -0.988 |             -0.262 |                2.9 |               2.69 |                182 |
                310 |              -0.98 |             -0.265 |               3.18 |               2.69 |                181 |
                320 |             -0.979 |             -0.258 |               2.64 |               2.64 |                183 |
                330 |             -0.986 |             -0.271 |               2.44 |               2.44 |                183 |
                340 |             -0.996 |             -0.256 |               2.38 |               2.37 |                182 |
                350 |             -0.988 |             -0.255 |               2.45 |               2.37 |                183 |
                360 |             -0.986 |              -0.26 |               2.58 |               2.37 |                183 |
                370 |             -0.985 |             -0.265 |               2.67 |               2.37 |                182 |
                380 |             -0.966 |             -0.266 |               2.67 |               2.37 |                182 |
                390 |              -0.99 |             -0.256 |               2.73 |               2.37 |                182 |
                400 |             -0.979 |             -0.249 |               2.61 |               2.37 |                181 |
                410 |             -0.991 |             -0.267 |               2.55 |               2.37 |                182 |
                420 |             -0.996 |              -0.25 |                2.5 |               2.37 |                182 |
                430 |             -0.977 |             -0.258 |               2.55 |               2.37 |                183 |
                440 |              -0.98 |             -0.266 |               2.49 |               2.37 |                184 |
                450 |             -0.996 |             -0.273 |               2.56 |               2.37 |                185 |
                460 |             -0.981 |             -0.265 |               2.72 |               2.37 |                185 |
                470 |             -0.973 |             -0.253 |               2.94 |               2.37 |                187 |
                480 |             -0.988 |             -0.259 |               3.06 |               2.37 |                187 |
                490 |             -0.993 |             -0.259 |               2.92 |               2.37 |                186 |
                500 |             -0.994 |             -0.256 |               3.02 |               2.37 |                187 |
                510 |             -0.981 |             -0.254 |               4.48 |               2.37 |                187 |
                520 |              -0.98 |             -0.264 |               3.16 |               2.37 |                187 |
                530 |             -0.997 |             -0.248 |               2.82 |               2.37 |                188 |
                540 |                 -1 |             -0.256 |               2.62 |               2.37 |                187 |
                550 |             -0.992 |             -0.258 |               2.59 |               2.37 |                187 |
                560 |             -0.979 |             -0.262 |               2.72 |               2.37 |                187 |
                570 |             -0.974 |             -0.267 |               2.91 |               2.37 |                187 |
                580 |             -0.977 |             -0.252 |               4.25 |               2.37 |                187 |
                590 |             -0.971 |             -0.254 |                3.3 |               2.37 |                187 |
                600 |              -0.98 |             -0.261 |               3.46 |               2.37 |                188 |
                610 |             -0.991 |             -0.257 |                2.8 |               2.37 |                187 |
                620 |              -0.99 |              -0.26 |               2.56 |               2.37 |                187 |
                630 |             -0.996 |             -0.266 |               2.53 |               2.37 |                187 |
                640 |             -0.987 |              -0.27 |               2.66 |               2.37 |                188 |
                650 |             -0.993 |             -0.259 |               2.71 |               2.37 |                188 |
                660 |             -0.976 |             -0.246 |               2.71 |               2.37 |                188 |
                670 |                 -1 |             -0.267 |               2.72 |               2.37 |                187 |
