Creating config files for runtime_packed_noisy_base_q4_spsa_joined:
Configuration file written. Path: /work/qgan/data/train/base-runtime_packed-joined-q4-noisy-SPSA-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/base-runtime_packed-joined-q4-noisy-SPSA-aerCPU-rand0-seed0/config.yaml
Training data file created.
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                  0 |             -0.979 |             -0.265 |               3.56 |               3.56 |               16.5 |
                 10 |             -0.983 |             -0.256 |               3.82 |               3.56 |                172 |
                 20 |             -0.973 |             -0.251 |               3.98 |               3.56 |                182 |
                 30 |             -0.987 |             -0.259 |               4.46 |               3.56 |                182 |
                 40 |             -0.979 |              -0.26 |               5.15 |               3.56 |                182 |
                 50 |             -0.978 |             -0.253 |               4.11 |               3.56 |                182 |
                 60 |              -0.98 |             -0.253 |               3.93 |               3.56 |                183 |
                 70 |             -0.978 |             -0.258 |               3.69 |               3.56 |                185 |
                 80 |             -0.977 |             -0.261 |               3.63 |               3.54 |                184 |
                 90 |             -0.977 |             -0.247 |               3.64 |               3.54 |                189 |
                100 |             -0.985 |             -0.255 |               3.75 |               3.54 |                190 |
                110 |              -0.98 |             -0.262 |               3.66 |               3.54 |                190 |
                120 |             -0.977 |             -0.259 |               3.81 |               3.54 |                189 |
                130 |              -0.97 |             -0.262 |               5.17 |               3.54 |                191 |
                140 |             -0.991 |             -0.239 |               3.47 |               3.47 |                191 |
                150 |             -0.984 |             -0.265 |                3.2 |                3.2 |                190 |
                160 |             -0.986 |             -0.259 |               3.11 |               3.11 |                189 |
                170 |             -0.998 |             -0.253 |               3.06 |               3.06 |                187 |
                180 |             -0.975 |             -0.262 |               2.94 |               2.94 |                185 |
                190 |             -0.982 |             -0.251 |               2.96 |               2.92 |                185 |
                200 |             -0.985 |             -0.255 |               2.93 |               2.92 |                185 |
                210 |             -0.976 |             -0.259 |               2.89 |               2.89 |                181 |
                220 |                 -1 |             -0.256 |               2.93 |               2.89 |                179 |
                230 |             -0.994 |             -0.253 |               2.89 |               2.89 |                180 |
                240 |             -0.977 |             -0.263 |               2.84 |               2.84 |                180 |
                250 |             -0.997 |             -0.252 |               2.74 |               2.74 |                180 |
                260 |             -0.987 |             -0.243 |                2.7 |                2.7 |                181 |
                270 |             -0.988 |             -0.258 |               2.68 |               2.67 |                182 |
                280 |             -0.976 |             -0.252 |               2.67 |               2.67 |                182 |
                290 |             -0.986 |             -0.266 |               2.61 |               2.61 |                187 |
                300 |             -0.983 |             -0.259 |               2.61 |               2.59 |                188 |
                310 |             -0.979 |              -0.26 |               2.69 |               2.59 |                188 |
                320 |             -0.983 |             -0.247 |               2.79 |               2.59 |                186 |
                330 |             -0.991 |             -0.259 |               2.92 |               2.59 |                188 |
                340 |             -0.994 |             -0.257 |               3.06 |               2.59 |                188 |
                350 |              -0.97 |             -0.255 |               2.99 |               2.59 |                189 |
                360 |             -0.971 |             -0.258 |                3.1 |               2.59 |                187 |
                370 |              -0.98 |             -0.268 |               3.15 |               2.59 |                188 |
                380 |             -0.989 |             -0.259 |               3.24 |               2.59 |                188 |
                390 |             -0.972 |             -0.245 |               3.34 |               2.59 |                189 |
                400 |             -0.988 |             -0.261 |               3.08 |               2.59 |                188 |
                410 |             -0.987 |              -0.27 |                  3 |               2.59 |                189 |
                420 |             -0.984 |             -0.252 |               2.93 |               2.59 |                191 |
                430 |             -0.972 |             -0.258 |                3.1 |               2.59 |                190 |
                440 |             -0.991 |             -0.262 |               3.16 |               2.59 |                191 |
                450 |             -0.986 |             -0.257 |               3.26 |               2.59 |                187 |
                460 |             -0.991 |             -0.253 |               3.29 |               2.59 |                189 |
                470 |             -0.986 |             -0.252 |               2.96 |               2.59 |                190 |
                480 |             -0.994 |             -0.263 |               2.68 |               2.59 |                186 |
                490 |              -0.99 |             -0.261 |               2.65 |               2.59 |                187 |
                500 |             -0.981 |             -0.262 |                2.6 |               2.59 |                187 |
                510 |              -0.99 |             -0.264 |               2.57 |               2.57 |                188 |
                520 |             -0.987 |             -0.261 |                2.5 |                2.5 |                186 |
                530 |             -0.976 |             -0.265 |               2.46 |               2.46 |                187 |
                540 |             -0.984 |             -0.252 |               2.44 |               2.44 |                186 |
                550 |             -0.984 |             -0.254 |               2.46 |               2.44 |                185 |
                560 |             -0.982 |             -0.256 |               2.48 |               2.44 |                181 |
