Creating config files for runtime_packed_fake_real_q4_joined_base:
Configuration file rewritten. Path: /work/qgan/data/train/base-runtime_packed-joined-q4-fake_real-SPSA-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/base-runtime_packed-joined-q4-fake_real-SPSA-aerCPU-rand0-seed0/config.yaml
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                150 |             -0.866 |             -0.313 |               3.13 |               3.01 |               9.11 |
                160 |             -0.867 |             -0.312 |               3.64 |               3.01 |               91.5 |
                170 |             -0.883 |             -0.312 |               3.63 |               3.01 |               91.2 |
                180 |             -0.886 |              -0.31 |               3.76 |               3.01 |                 91 |
                190 |             -0.891 |             -0.304 |               4.27 |               3.01 |               91.5 |
                200 |             -0.919 |             -0.305 |               4.34 |               3.01 |               91.7 |
                210 |             -0.911 |             -0.304 |               3.92 |               3.01 |               91.4 |
                220 |             -0.921 |             -0.312 |                3.8 |               3.01 |               91.6 |
                230 |             -0.914 |             -0.308 |               4.01 |               3.01 |               91.7 |
                240 |              -0.92 |             -0.321 |               4.17 |               3.01 |                 91 |
                250 |             -0.918 |              -0.31 |               3.98 |               3.01 |               90.9 |
                260 |              -0.92 |             -0.316 |               3.79 |               3.01 |                 91 |
                270 |             -0.923 |              -0.32 |               3.73 |               3.01 |               91.1 |
                280 |             -0.913 |             -0.325 |               3.64 |               3.01 |               91.3 |
                290 |             -0.923 |             -0.332 |               3.51 |               3.01 |               91.6 |
                300 |             -0.913 |             -0.336 |               3.52 |               3.01 |               91.6 |
                310 |             -0.923 |             -0.331 |               3.41 |               3.01 |               91.3 |
                320 |             -0.911 |             -0.344 |               3.55 |               3.01 |               91.6 |
                330 |              -0.91 |             -0.352 |               3.65 |               3.01 |               92.2 |
                340 |             -0.913 |             -0.343 |                3.6 |               3.01 |                 92 |
                350 |             -0.921 |             -0.345 |               3.54 |               3.01 |               91.8 |
                360 |             -0.919 |             -0.346 |               3.54 |               3.01 |               91.3 |
                370 |             -0.915 |             -0.349 |               3.66 |               3.01 |               90.4 |
                380 |             -0.917 |             -0.359 |                4.1 |               3.01 |               89.5 |
                390 |             -0.916 |             -0.374 |               5.28 |               3.01 |               90.7 |
                400 |             -0.923 |             -0.383 |               4.74 |               3.01 |                 91 |
                410 |             -0.916 |             -0.379 |               3.74 |               3.01 |               90.8 |
                420 |             -0.918 |             -0.391 |               3.57 |               3.01 |               90.5 |
                430 |             -0.904 |              -0.39 |               3.49 |               3.01 |                 91 |
                440 |             -0.909 |             -0.396 |               3.51 |               3.01 |               90.4 |
                450 |             -0.915 |             -0.409 |               3.35 |               3.01 |               90.8 |
                460 |             -0.919 |             -0.405 |               3.27 |               3.01 |               90.5 |
                470 |             -0.918 |             -0.408 |               3.19 |               3.01 |               90.9 |
                480 |              -0.91 |             -0.412 |                3.3 |               3.01 |               91.1 |
                490 |             -0.896 |              -0.43 |               3.34 |               3.01 |                 91 |
                500 |             -0.899 |             -0.438 |               3.53 |               3.01 |               90.4 |
                510 |               -0.9 |             -0.439 |               3.89 |               3.01 |               90.9 |
                520 |             -0.897 |             -0.443 |               4.82 |               3.01 |                 90 |
                530 |             -0.896 |              -0.46 |               4.21 |               3.01 |               91.5 |
