Creating config files for noiseless_ang_q16_spsa_seed0:
Configuration file rewritten. Path: /work/qgan/data/train/ang-qml_torch-q16-noiseless-SPSA-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/ang-qml_torch-q16-noiseless-SPSA-aerCPU-rand0-seed0/config.yaml
GPUs available to PyTorch: 1
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                 10 |             -0.777 |             -0.454 |             0.0156 |             0.0128 |                336 |
                 20 |             -0.793 |             -0.475 |             0.0132 |             0.0128 |                420 |
                 30 |             -0.761 |             -0.483 |             0.0138 |             0.0117 |                420 |
                 40 |             -0.754 |             -0.503 |             0.0157 |             0.0115 |                418 |
                 50 |             -0.759 |             -0.505 |             0.0147 |             0.0115 |                417 |
                 60 |             -0.751 |             -0.521 |              0.018 |             0.0115 |                417 |
                 70 |             -0.748 |             -0.523 |             0.0176 |             0.0115 |                417 |
                 80 |             -0.751 |              -0.52 |             0.0197 |             0.0115 |                417 |
                 90 |             -0.776 |             -0.528 |             0.0159 |             0.0115 |                417 |
                100 |             -0.763 |             -0.532 |               0.02 |             0.0115 |                417 |
                110 |              -0.78 |             -0.536 |             0.0188 |             0.0115 |                417 |
                120 |             -0.782 |             -0.524 |             0.0186 |             0.0115 |                417 |
                130 |             -0.763 |             -0.537 |             0.0207 |             0.0115 |                417 |
                140 |              -0.77 |             -0.536 |              0.021 |             0.0115 |                417 |
                150 |             -0.774 |             -0.529 |             0.0214 |             0.0115 |                417 |
                160 |             -0.788 |             -0.528 |             0.0211 |             0.0115 |                417 |
                170 |             -0.814 |             -0.524 |             0.0219 |             0.0115 |                417 |
                180 |             -0.798 |             -0.517 |             0.0179 |             0.0115 |                417 |
                190 |             -0.816 |             -0.513 |             0.0177 |             0.0115 |                417 |
                200 |             -0.817 |             -0.511 |             0.0184 |             0.0115 |                417 |
                210 |             -0.826 |             -0.525 |             0.0195 |             0.0115 |                417 |
                220 |              -0.85 |             -0.511 |             0.0182 |             0.0115 |                417 |
                230 |             -0.849 |             -0.502 |             0.0196 |             0.0115 |                417 |
                240 |             -0.843 |             -0.503 |             0.0156 |             0.0115 |                417 |
                250 |             -0.865 |             -0.491 |             0.0185 |             0.0115 |                417 |
                260 |             -0.871 |             -0.502 |             0.0231 |             0.0115 |                417 |
                270 |             -0.883 |             -0.505 |             0.0233 |             0.0115 |                417 |
                280 |             -0.874 |             -0.487 |             0.0249 |             0.0115 |                417 |
                290 |             -0.887 |             -0.489 |             0.0213 |             0.0115 |                417 |
                300 |             -0.879 |             -0.496 |             0.0285 |             0.0115 |                417 |
