Creating config files for noiseless_ang_q16_spsa_seed2:
Configuration file rewritten. Path: /work/qgan/data/train/ang-qml_torch-q16-noiseless-SPSA-aerCPU-rand0-seed2/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/ang-qml_torch-q16-noiseless-SPSA-aerCPU-rand0-seed2/config.yaml
GPUs available to PyTorch: 1
Training data file created.
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                  0 |             -0.848 |             -0.443 |             0.0253 |             0.0253 |               35.2 |
                 10 |             -0.843 |             -0.468 |              0.024 |             0.0235 |                349 |
                 20 |             -0.827 |             -0.474 |             0.0242 |             0.0226 |                349 |
                 30 |             -0.836 |             -0.478 |             0.0259 |             0.0208 |                349 |
                 40 |             -0.831 |              -0.49 |             0.0267 |             0.0194 |                349 |
                 50 |             -0.825 |               -0.5 |             0.0267 |             0.0192 |                349 |
                 60 |             -0.817 |             -0.509 |             0.0227 |             0.0192 |                349 |
                 70 |             -0.832 |             -0.506 |             0.0204 |             0.0192 |                349 |
                 80 |             -0.817 |              -0.51 |             0.0194 |             0.0155 |                349 |
                 90 |             -0.829 |              -0.51 |             0.0193 |             0.0155 |                349 |
                100 |             -0.825 |             -0.513 |             0.0173 |             0.0155 |                349 |
                110 |             -0.845 |             -0.499 |             0.0178 |             0.0152 |                347 |
                120 |             -0.834 |             -0.516 |              0.016 |              0.015 |                344 |
                130 |             -0.845 |              -0.52 |             0.0176 |             0.0147 |                344 |
                140 |             -0.848 |              -0.51 |              0.016 |             0.0141 |                344 |
                150 |             -0.866 |             -0.521 |             0.0177 |             0.0141 |                344 |
                160 |             -0.867 |               -0.5 |             0.0169 |             0.0119 |                344 |
                170 |             -0.894 |              -0.51 |             0.0158 |             0.0119 |                345 |
                180 |             -0.871 |             -0.517 |             0.0154 |             0.0119 |                345 |
                190 |             -0.878 |             -0.515 |             0.0158 |             0.0119 |                345 |
                200 |             -0.874 |             -0.511 |             0.0127 |             0.0119 |                345 |
                210 |             -0.867 |             -0.523 |             0.0193 |             0.0119 |                345 |
                220 |             -0.883 |             -0.511 |             0.0212 |             0.0119 |                345 |
                230 |             -0.886 |             -0.506 |             0.0174 |             0.0119 |                345 |
                240 |             -0.884 |             -0.505 |             0.0195 |             0.0119 |                345 |
                250 |             -0.883 |             -0.518 |             0.0197 |             0.0119 |                345 |
                260 |             -0.872 |             -0.516 |             0.0178 |             0.0119 |                345 |
                270 |             -0.856 |             -0.524 |              0.025 |             0.0119 |                345 |
                280 |             -0.857 |             -0.519 |             0.0238 |             0.0119 |                345 |
