Creating config files for qml_torch_rh_grad:
Configuration file written. Path: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml
Backend file created.
Training data file created.
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                  0 |             -0.108 |             -0.659 |               4.05 |               4.05 |                311 |
                  1 |             -0.114 |             -0.651 |               3.74 |               3.74 |                301 |
                  2 |              -0.11 |             -0.656 |               3.64 |               3.64 |                304 |
                  3 |             -0.111 |             -0.661 |               3.61 |               3.61 |                300 |
                  4 |             -0.116 |             -0.657 |               3.62 |               3.61 |                303 |
                  5 |             -0.137 |             -0.668 |                3.7 |               3.61 |                302 |
                  6 |             -0.121 |             -0.665 |               3.96 |               3.61 |                301 |
                  7 |             -0.122 |             -0.664 |               3.87 |               3.61 |                299 |
                  8 |             -0.125 |             -0.661 |               3.59 |               3.59 |                301 |
                  9 |             -0.136 |             -0.668 |               3.46 |               3.46 |                303 |
                 10 |             -0.139 |             -0.667 |               3.36 |               3.36 |                302 |
                 11 |             -0.141 |             -0.666 |               3.29 |               3.29 |                301 |
                 12 |             -0.133 |              -0.66 |               3.23 |               3.23 |                301 |
                 13 |             -0.141 |             -0.673 |               3.17 |               3.17 |                302 |
                 14 |             -0.151 |             -0.669 |               3.13 |               3.13 |                300 |
                 15 |             -0.159 |             -0.675 |                3.1 |                3.1 |                304 |
                 16 |             -0.163 |             -0.667 |               3.07 |               3.07 |                301 |
                 17 |             -0.163 |             -0.663 |               3.05 |               3.05 |                302 |
                 18 |             -0.164 |              -0.67 |               3.04 |               3.04 |                303 |
                 19 |             -0.163 |              -0.67 |               3.03 |               3.03 |                304 |
                 20 |             -0.172 |             -0.674 |               3.03 |               3.03 |                302 |
                 21 |             -0.174 |             -0.677 |               3.04 |               3.03 |                305 |
                 22 |             -0.176 |             -0.681 |               3.05 |               3.03 |                302 |
                 23 |             -0.195 |              -0.68 |               3.08 |               3.03 |                306 |
                 24 |             -0.184 |             -0.686 |               3.14 |               3.03 |                302 |
                 25 |             -0.191 |             -0.674 |               3.23 |               3.03 |                299 |
