Creating config files for qml_torch_rh_grad:
Configuration file rewritten. Path: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml

1 battery configuration files ready.

Running: /work/qgan/data/train/base-qml_torch-q4-real-PSR-aerCPU-rand0-seed0/config.yaml
Backend file created.
              Epoch |     Generator cost | Discriminator cost |               Eval |          Best eval |               Time |
                 95 |             -0.513 |             -0.677 |               1.32 |               1.32 |           1.79e+04 |
                 96 |             -0.531 |              -0.66 |               1.31 |               1.31 |                304 |
                 97 |               -0.5 |              -0.66 |                1.3 |                1.3 |                303 |
                 98 |             -0.517 |             -0.661 |               1.29 |               1.29 |                303 |
                 99 |             -0.514 |             -0.678 |               1.28 |               1.28 |                302 |
                100 |              -0.53 |             -0.673 |               1.28 |               1.28 |                306 |
                101 |             -0.527 |              -0.67 |               1.27 |               1.27 |                308 |
                102 |             -0.531 |             -0.669 |               1.27 |               1.27 |                303 |
                103 |             -0.541 |             -0.661 |               1.26 |               1.26 |                302 |
                104 |             -0.542 |             -0.656 |               1.26 |               1.26 |                302 |
                105 |             -0.549 |             -0.668 |               1.25 |               1.25 |                306 |
                106 |             -0.532 |             -0.666 |               1.25 |               1.25 |                302 |
                107 |             -0.524 |             -0.676 |               1.25 |               1.25 |                300 |
                108 |             -0.533 |             -0.683 |               1.25 |               1.25 |                300 |
                109 |             -0.533 |             -0.681 |               1.25 |               1.25 |                305 |
                110 |             -0.551 |             -0.683 |               1.26 |               1.25 |                307 |
                111 |             -0.541 |             -0.682 |               1.26 |               1.25 |                300 |
                112 |             -0.539 |             -0.675 |               1.27 |               1.25 |                306 |
                113 |              -0.54 |             -0.678 |               1.27 |               1.25 |                306 |
                114 |             -0.551 |             -0.674 |               1.28 |               1.25 |                302 |
                115 |              -0.55 |              -0.68 |               1.29 |               1.25 |                306 |
                116 |             -0.564 |             -0.678 |                1.3 |               1.25 |                308 |
                117 |             -0.566 |             -0.677 |               1.32 |               1.25 |                302 |
                118 |             -0.561 |             -0.666 |               1.33 |               1.25 |                303 |
                119 |             -0.566 |             -0.679 |               1.35 |               1.25 |                301 |
                120 |             -0.557 |             -0.667 |               1.36 |               1.25 |                304 |
                121 |             -0.566 |             -0.671 |               1.38 |               1.25 |                306 |
                122 |             -0.559 |             -0.682 |               1.41 |               1.25 |                303 |
                123 |             -0.574 |             -0.669 |               1.43 |               1.25 |                304 |
                124 |             -0.583 |             -0.664 |               1.46 |               1.25 |                298 |
                125 |              -0.57 |              -0.66 |               1.49 |               1.25 |                308 |
                126 |             -0.579 |             -0.673 |               1.52 |               1.25 |                304 |
                127 |             -0.586 |             -0.667 |               1.56 |               1.25 |                311 |
                128 |             -0.591 |             -0.671 |                1.6 |               1.25 |                303 |
                129 |             -0.584 |             -0.675 |               1.65 |               1.25 |                303 |
                130 |             -0.594 |             -0.661 |               1.71 |               1.25 |                305 |
                131 |              -0.59 |             -0.666 |               1.78 |               1.25 |                304 |
                132 |             -0.595 |             -0.662 |               1.86 |               1.25 |                303 |
                133 |             -0.592 |             -0.666 |               1.97 |               1.25 |                303 |
                134 |             -0.589 |             -0.663 |               2.13 |               1.25 |                305 |
                135 |             -0.608 |             -0.666 |               2.55 |               1.25 |                306 |
                136 |             -0.614 |             -0.659 |               2.29 |               1.25 |                299 |
                137 |             -0.608 |             -0.664 |                2.1 |               1.25 |                305 |
                138 |             -0.601 |             -0.654 |                  2 |               1.25 |                301 |
                139 |             -0.606 |             -0.673 |               1.95 |               1.25 |                304 |
                140 |             -0.611 |             -0.666 |               1.91 |               1.25 |                304 |
                141 |             -0.614 |             -0.658 |               1.89 |               1.25 |                301 |
                142 |             -0.622 |             -0.663 |               1.88 |               1.25 |                302 |
                143 |             -0.619 |             -0.664 |               1.87 |               1.25 |                306 |
                144 |             -0.603 |             -0.662 |               1.87 |               1.25 |                311 |
                145 |             -0.611 |             -0.663 |               1.88 |               1.25 |                301 |
                146 |             -0.617 |             -0.662 |                1.9 |               1.25 |                302 |
                147 |             -0.631 |             -0.656 |               1.92 |               1.25 |                302 |
                148 |             -0.614 |             -0.653 |               1.95 |               1.25 |                305 |
                149 |             -0.622 |             -0.654 |               1.98 |               1.25 |                300 |
                150 |             -0.644 |             -0.658 |               2.04 |               1.25 |                298 |
                151 |             -0.621 |             -0.655 |                2.1 |               1.25 |                304 |
                152 |             -0.618 |              -0.66 |               2.17 |               1.25 |                303 |
                153 |             -0.626 |             -0.657 |               2.24 |               1.25 |                302 |
                154 |             -0.621 |             -0.665 |               2.33 |               1.25 |                305 |
                155 |              -0.63 |             -0.657 |               2.43 |               1.25 |                301 |
                156 |             -0.613 |             -0.658 |               2.67 |               1.25 |                301 |
                157 |             -0.618 |             -0.663 |               2.86 |               1.25 |                303 |
